timestamp,gas_value,fan_on
2025-12-10T16:15:19.133386,61,0
2025-12-10T16:15:19.634405,61,0
2025-12-10T16:15:20.135404,61,0
2025-12-10T16:15:20.636424,60,0
2025-12-10T16:15:21.137437,60,0
2025-12-10T16:15:21.711818,61,0
2025-12-10T16:15:22.212837,60,0
2025-12-10T16:15:22.713838,60,0
2025-12-10T16:15:23.214912,60,0
2025-12-10T16:15:23.716112,60,0
2025-12-10T16:15:24.217153,60,0
2025-12-10T16:15:24.718168,60,0
2025-12-10T16:15:25.219175,60,0
2025-12-10T16:15:25.720491,60,0
2025-12-10T16:15:26.221931,60,0
2025-12-10T16:15:26.800124,59,0
